,DATES,STATE,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,cases,deaths,Unnamed: 0,STEMERG,CLSCHOOL,CLDAYCR,STAYHOME,QRSOMEST,QR_ALLST,CLBSNS,CURFEW,CLREST,CLGYM,CLMOVIE,CLOSEBAR,CASCLOSE,FM_ALL,TLHLAUD,TLHLMED,ELECPRCR,CLS_RELG,CLS_HAIR
30,03/07/21,North Carolina,11502.0,0,,,1179.0,0,,0,872176.0,0,0,,0,9688838.0,0,0,876542.0,11522.0,11942.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
31,03/07/21,North Dakota,1478.0,0,3880.0,3880.0,23.0,2,305912.0,-109,100391.0,34,0,98326.0,679,1425146.0,679,-75,100421.0,1479.0,12294.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
32,03/07/21,Nebraska,2113.0,0,6237.0,6237.0,137.0,8,771128.0,542,203026.0,373,0,157144.0,0,2421684.0,1,978,203304.0,2223.0,9830.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
33,03/07/21,New Hampshire,1184.0,3,1131.0,1131.0,68.0,4,579582.0,396,76861.0,166,0,73615.0,0,1497185.0,15697,521,76861.0,1184.0,10534.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
34,03/07/21,New Jersey,23574.0,17,64396.0,64396.0,1792.0,58,10186941.0,0,812609.0,2519,0,,0,10999550.0,2519,0,812609.0,23574.0,10886.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
35,03/07/21,New Mexico,3808.0,12,13252.0,13252.0,169.0,10,,0,186922.0,180,0,156554.0,0,2783542.0,11702,0,186922.0,3808.0,11238.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
36,03/07/21,Nevada,5037.0,1,,,399.0,0,1131758.0,1829,296190.0,730,0,,6201,2770192.0,6201,2059,296275.0,5037.0,10182.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
37,03/07/21,New York,39029.0,59,,,4789.0,0,,0,1681169.0,6789,0,,227768,39695100.0,227768,0,1694908.0,47857.0,11590.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
38,03/07/21,Ohio,17656.0,0,50881.0,50881.0,820.0,33,,0,978471.0,735,0,925655.0,0,10257157.0,29289,0,978471.0,17502.0,12646.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
39,03/07/21,Oklahoma,4534.0,0,24332.0,24332.0,346.0,55,3146300.0,0,428997.0,461,0,412177.0,0,3575297.0,461,0,428997.0,4534.0,12998.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
